date,open,high,low,close,diff,volume
2017-11-15,12160.0,12160.0,12000.0,12065.0,115.0,66013.0
2017-11-16,12015.0,12015.0,11915.0,11940.0,125.0,3803.0
2017-11-17,11985.0,12000.0,11930.0,11980.0,40.0,3218.0
2017-11-20,12000.0,12015.0,11945.0,11990.0,10.0,163535.0
2017-11-21,12025.0,12620.0,11910.0,11945.0,45.0,9873.0
2017-11-22,11965.0,12005.0,11940.0,11965.0,20.0,5673.0
2017-11-23,11965.0,12000.0,11965.0,11975.0,10.0,2118.0
2017-11-24,11985.0,11990.0,11915.0,11980.0,5.0,2154.0
2017-11-27,12000.0,12025.0,11940.0,12025.0,45.0,5075.0
2017-11-28,12010.0,12015.0,11910.0,11950.0,75.0,7086.0
2017-11-29,11960.0,12025.0,11960.0,11980.0,30.0,471414.0
2017-11-30,11985.0,12100.0,11960.0,12100.0,120.0,10897.0
2017-12-01,12100.0,12155.0,12085.0,12130.0,30.0,3813.0
2017-12-04,12070.0,12115.0,12010.0,12110.0,20.0,4209.0
2017-12-05,12095.0,12095.0,12020.0,12055.0,55.0,3920.0
2017-12-06,12055.0,12120.0,12015.0,12120.0,65.0,39086.0
2017-12-07,12110.0,12130.0,12040.0,12095.0,25.0,4041.0
2017-12-08,12155.0,12165.0,12100.0,12145.0,50.0,3133.0
2017-12-11,12205.0,12215.0,12150.0,12210.0,65.0,27902.0
2017-12-12,12225.0,12230.0,12135.0,12225.0,15.0,4879.0
2017-12-13,12225.0,12270.0,12200.0,12220.0,5.0,75967.0
2017-12-14,12220.0,12230.0,12155.0,12215.0,5.0,9069.0
2017-12-15,12195.0,12210.0,12140.0,12185.0,30.0,5175.0
2017-12-18,12225.0,12255.0,12185.0,12240.0,55.0,15673.0
2017-12-19,12300.0,12325.0,12260.0,12300.0,60.0,11881.0
2017-12-20,12245.0,12270.0,12205.0,12210.0,90.0,5810.0
2017-12-21,12215.0,12230.0,12110.0,12145.0,65.0,12449.0
2017-12-22,12255.0,12255.0,12165.0,12225.0,80.0,7775.0
2017-12-26,12235.0,12235.0,12160.0,12195.0,30.0,15215.0
2017-12-27,12200.0,12200.0,12135.0,12175.0,20.0,3421.0
2017-12-28,12175.0,12195.0,12105.0,12145.0,30.0,7919.0
2018-01-02,12135.0,12135.0,12045.0,12065.0,80.0,11715.0
2018-01-03,12085.0,12190.0,12080.0,12155.0,90.0,2782.0
2018-01-04,12155.0,12265.0,12155.0,12220.0,65.0,4502.0
2018-01-05,12240.0,12335.0,12240.0,12335.0,115.0,16042.0
2018-01-08,12345.0,12425.0,12335.0,12405.0,70.0,5314.0
2018-01-09,12400.0,12430.0,12375.0,12395.0,10.0,82312.0
2018-01-10,12475.0,12505.0,12430.0,12505.0,110.0,3836.0
2018-01-11,12505.0,12505.0,12425.0,12455.0,50.0,3455.0
2018-01-12,12510.0,12510.0,12385.0,12445.0,10.0,7015.0
2018-01-15,12475.0,12565.0,12460.0,12560.0,115.0,6281.0
2018-01-16,12560.0,12635.0,12560.0,12620.0,60.0,8669.0
