표준코드,단축코드,상장일,상장좌수,총보수,시가,거래량,시가총액,보수
KR7241390004,241390,2016-04-12,1200000,0.23,12210.0,270.0,14652.0,0.23
KR7272560004,272560,2017-06-29,2449000,0.07,102280.0,410544.0,250484.0,0.07
KR7196230007,196230,2014-05-19,3592000,0.13,104715.0,1582802.0,376136.0,0.13
KR7357870005,357870,2020-07-07,4864000,0.15,50525.0,0.0,245754.0,0.15
KR7341850006,341850,2020-05-22,8000000,0.22,5720.0,74539.0,45760.0,0.22
KR7272580002,272580,2017-06-29,3814000,0.07,50225.0,684.0,191558.0,0.07
KR7157450008,157450,2012-05-16,14783000,0.09,100440.0,1182.0,1484805.0,0.09
KR7329200000,329200,2019-07-19,19700000,0.29,5935.0,35411.0,116920.0,0.29
KR7302190004,302190,2018-07-20,1200000,0.15,51925.0,1237.0,62310.0,0.15
KR7114260003,114260,2009-07-29,2154000,0.15,57560.0,14668.0,123984.0,0.15
KR7273140004,273140,2017-06-29,1111000,0.15,102840.0,0.0,114255.0,0.15
KR7261240006,261240,2016-12-27,11100000,0.25,10440.0,30603.0,115884.0,0.25
KR7237370002,237370,2016-01-27,1800000,0.19,11900.0,1047.0,21420.0,0.19
KR7273130005,273130,2017-06-29,13990000,0.07,108240.0,974.0,1514278.0,0.07
KR7214980005,214980,2015-03-03,11780000,0.15,103320.0,4348.0,1217110.0,0.15
KR7153130000,153130,2012-02-22,18871000,0.15,103020.0,1796.0,1944090.0,0.15
KR7363510009,363510,2020-09-09,1010000,0.13,100525.0,1.0,101530.0,0.13
KR7148070006,148070,2011-10-20,1840000,0.15,119495.0,9877.0,219871.0,0.15
KR7130730005,130730,2010-07-29,1083000,0.15,101305.0,169061.0,109713.0,0.15
KR7138230008,138230,2011-02-24,2780000,0.37,12410.0,1233.0,34500.0,0.37
KR7190620005,190620,2013-12-23,1654000,0.07,100605.0,309.0,166401.0,0.07
KR7251600003,251600,2016-08-11,1100000,0.2,11080.0,1330.0,12188.0,0.2
