표준코드,단축코드,상장일,상장좌수,총보수,시가,거래량,시가총액,보수
KR7361580004,361580,2020-08-21,1700000,0.012,20280.0,432.0,34476.0,0.012
KR7148020001,148020,2011-10-20,27750000,0.017,39525.0,36719.0,1096819.0,0.017
KR7105780001,105780,2008-10-22,1200000,0.4,7765.0,29.0,9318.0,0.4
KR7290130004,290130,2018-02-27,25850000,0.3,12960.0,676.0,335016.0,0.3
KR7367760006,367760,2020-10-29,11650000,0.45,10780.0,47685.0,125587.0,0.45
KR7367770005,367770,2020-10-29,29600000,0.45,11370.0,61140.0,336552.0,0.45
KR7326240009,326240,2019-06-20,9060000,0.4,22265.0,2727.0,201721.0,0.4
KR7300640000,300640,2018-07-24,2450000,0.3,20565.0,49921.0,50384.0,0.3
KR7266160001,266160,2017-04-14,6650000,0.2,12420.0,246.0,82593.0,0.2
KR7326230000,326230,2019-06-20,3740000,0.4,9715.0,0.0,36334.0,0.4
KR7315960005,315960,2019-01-22,3600000,0.15,16060.0,6860.0,57816.0,0.15
KR7270810005,270810,2017-06-16,10760000,0.18,14660.0,630.0,157742.0,0.18
KR7302450002,302450,2018-07-24,5700000,0.14,29870.0,7.0,170259.0,0.14
KR7332930007,332930,2019-08-28,4300000,0.07,47025.0,23.0,202208.0,0.07
KR7293180006,293180,2018-03-30,16600000,0.036,39420.0,732.0,654372.0,0.036
KR7368190005,368190,2020-11-10,5100000,0.45,11845.0,11578.0,60410.0,0.45
KR7367740008,367740,2020-10-29,1100000,0.45,13120.0,205.0,14432.0,0.45
KR7332940006,332940,2019-08-28,19500000,0.12,15870.0,18.0,309465.0,0.12
KR7322400003,322400,2019-04-23,6250000,0.45,17845.0,107.0,111531.0,0.45
KR7322410002,322410,2019-04-23,2000000,0.25,11200.0,3089.0,22400.0,0.25
KR7304770001,304770,2018-08-14,2540000,0.2,14690.0,223.0,37313.0,0.2
KR7310960000,310960,2018-11-20,1600000,0.09,20995.0,36.0,33592.0,0.09
KR7102110004,102110,2008-04-03,55550000,0.05,39400.0,759947.0,2188670.0,0.05
KR7227540002,227540,2015-09-23,1460000,0.4,21920.0,7323.0,32003.0,0.4
KR7305540007,305540,2018-09-12,52750000,0.5,22985.0,676222.0,1212459.0,0.5
KR7365040005,365040,2020-09-29,1800000,0.4,13230.0,439.0,23814.0,0.4
KR7364960005,364960,2020-10-07,30450000,0.4,11715.0,243296.0,356722.0,0.4
KR7364980003,364980,2020-10-07,31900000,0.4,16620.0,350065.0,530178.0,0.4
KR7292160009,292160,2018-03-26,1300000,0.09,18340.0,1.0,23842.0,0.09
KR7364990002,364990,2020-10-07,2300000,0.4,12445.0,39717.0,28624.0,0.4
KR7364970004,364970,2020-10-07,11000000,0.4,8550.0,301656.0,94050.0,0.4
KR7365000009,365000,2020-10-07,5300000,0.4,11345.0,45932.0,60129.0,0.4
KR7300610003,300610,2018-07-24,1350000,0.5,17500.0,28024.0,23625.0,0.5
