표준코드,단축코드,상장일,상장좌수,총보수,시가,거래량,시가총액,보수
KR7319640009,319640,2019-04-09,2200000,0.39,12840.0,7840.0,28248.0,0.39
KR7160580007,160580,2012-12-17,2350000,0.83,10365.0,3281.0,24358.0,0.83
KR7137610002,137610,2011-01-11,4400000,0.69,6665.0,1763.0,29326.0,0.69
KR7329750004,329750,2019-07-24,19390000,0.3,10105.0,38878.0,195936.0,0.3
KR7305080004,305080,2018-08-30,6400000,0.29,12100.0,18257.0,77440.0,0.29
KR7130680002,130680,2010-08-02,16750000,0.69,3300.0,89077.0,55275.0,0.69
KR7182480004,182480,2013-10-10,11250000,0.24,15855.0,10265.0,178369.0,0.24
KR7182490003,182490,2014-03-24,1200000,0.24,12490.0,151.0,14988.0,0.24
KR7329650006,329650,2019-07-04,9500000,0.24,11450.0,15545.0,108775.0,0.24
KR7329660005,329660,2019-07-04,1800000,0.17,12520.0,130.0,22536.0,0.17
KR7329670004,329670,2019-07-04,1600000,0.1,13560.0,400.0,21696.0,0.1
KR7261220008,261220,2016-12-27,16275000,0.35,10955.0,408065.0,178293.0,0.35
KR7132030008,132030,2010-10-01,19100000,0.68,12015.0,48800.0,229487.0,0.68
KR7138910005,138910,2011-03-15,2400000,0.68,7945.0,4648.0,19068.0,0.68
KR7352560007,352560,2020-05-13,1300000,0.3,15000.0,1375.0,19500.0,0.3
KR7308620004,308620,2018-10-19,1200000,0.3,11820.0,1380.0,14184.0,0.3
KR7304660004,304660,2018-09-12,1800000,0.3,12880.0,11093.0,23184.0,0.3
KR7144600004,144600,2011-07-18,20600000,0.68,4575.0,80408.0,94245.0,0.68
KR7284430006,284430,2017-11-30,2160000,0.35,13220.0,1317.0,28555.0,0.35
