표준코드,단축코드,상장일,상장좌수,총보수,시가,거래량,시가총액,보수
KR7276650009,276650,2017-08-17,1500000,0.4,24395.0,3753.0,36593.0,0.4
KR7219390002,219390,2015-06-02,10000000,0.25,4440.0,52604.0,44400.0,0.25
KR7368590006,368590,2020-11-06,12000000,0.021,13995.0,53264.0,167940.0,0.021
KR7310080007,310080,2018-11-28,1050000,0.6,11075.0,11259.0,11629.0,0.6
KR7174360008,174360,2013-06-04,3700000,0.65,21600.0,1647.0,79920.0,0.65
KR7354350001,354350,2020-05-12,2950000,0.5,19385.0,6929.0,57186.0,0.5
KR7143850006,143850,2011-07-18,4625000,0.3,53880.0,248684.0,249195.0,0.3
KR7248270001,248270,2016-07-01,1300000,0.4,18095.0,877.0,23524.0,0.4
KR7133690008,133690,2010-10-18,19990000,0.07,84105.0,68903.0,1681259.0,0.07
KR7105010003,105010,2008-08-27,1700000,0.49,3285.0,2353.0,5585.0,0.49
KR7360750004,360750,2020-08-07,76750000,0.07,13700.0,389378.0,1051475.0,0.07
KR7245340005,245340,2016-07-01,3460000,0.35,21225.0,10497.0,73439.0,0.35
KR7245350004,245350,2016-07-01,1200000,0.35,12715.0,488.0,15258.0,0.35
KR7245360003,245360,2016-06-16,5700000,0.35,10540.0,5249.0,60078.0,0.35
KR7276000007,276000,2017-08-01,1200000,0.4,13545.0,76.0,16254.0,0.4
KR7203780002,203780,2014-08-27,2060000,0.3,19720.0,5488.0,40623.0,0.3
KR7275980001,275980,2017-08-01,13220000,0.4,18865.0,14306.0,249395.0,0.4
KR7195930003,195930,2014-04-30,5800000,0.24,14160.0,657845.0,82128.0,0.24
KR7192090009,192090,2014-02-17,19000000,0.63,12115.0,54763.0,230185.0,0.63
KR7251350005,251350,2016-08-17,17000000,0.3,20775.0,99724.0,353175.0,0.3
KR7269420006,269420,2017-05-16,1166000,0.26,12275.0,1777.0,14313.0,0.26
KR7276990009,276990,2017-08-17,1076000,0.3,19025.0,2366.0,20471.0,0.3
KR7314250002,314250,2019-01-10,16550000,0.45,29275.0,52680.0,484501.0,0.45
KR7276970001,276970,2017-08-10,3600000,0.3,10285.0,2810.0,37026.0,0.3
KR7304940000,304940,2018-08-30,4600000,0.45,20140.0,4823.0,92644.0,0.45
KR7280930009,280930,2017-11-09,2000000,0.45,14400.0,2706.0,28800.0,0.45
KR7218420008,218420,2015-04-28,3044000,0.25,7735.0,55822.0,23545.0,0.25
KR7283580009,283580,2017-12-13,7000000,0.12,14655.0,15809.0,102585.0,0.12
KR7169950003,169950,2013-01-21,1400000,0.12,22690.0,2049.0,31766.0,0.12
KR7099140006,99140,2007-10-10,3000000,0.12,17860.0,651.0,53580.0,0.12
KR7256750001,256750,2016-11-08,3800000,0.47,15285.0,7141.0,58083.0,0.47
KR7298770009,298770,2018-06-11,5200000,0.55,20465.0,2349.0,106418.0,0.55
KR7219480001,219480,2015-05-29,5950000,0.25,22195.0,25365.0,132060.0,0.25
KR7200250009,200250,2014-06-26,3150000,0.49,18170.0,10015.0,57236.0,0.49
KR7277540001,277540,2017-08-23,1800000,0.7,14195.0,12446.0,25551.0,0.7
KR7360200000,360200,2020-08-07,38800000,0.07,13800.0,52911.0,535440.0,0.07
KR7309230001,309230,2018-10-25,6400000,0.4,17690.0,7378.0,113216.0,0.4
KR7367380003,367380,2020-10-29,23200000,0.07,14425.0,56240.0,334660.0,0.07
KR7245710009,245710,2016-07-01,9300000,0.7,22540.0,27202.0,209622.0,0.7
KR7256440009,256440,2016-11-01,5100000,0.7,9170.0,2640.0,46767.0,0.7
KR7168580009,168580,2012-11-29,6900000,0.7,32175.0,428.0,222008.0,0.7
KR7269540001,269540,2017-05-16,2200000,0.3,19015.0,4566.0,41833.0,0.3
KR7287180004,287180,2017-12-13,1250000,0.5,25650.0,2315.0,32063.0,0.5
KR7213630007,213630,2015-01-26,1730000,0.4,15775.0,377.0,27291.0,0.4
KR7195980008,195980,2014-05-13,6220000,0.5,11655.0,6796.0,72494.0,0.5
