표준코드,단축코드,상장일,상장좌수,총보수,시가,거래량,시가총액,보수
KR7361580004,361580,2020-08-21,2200000,0.012,20045.0,3867.0,44099.0,0.012
KR7148020001,148020,2011-10-20,26950000,0.017,39035.0,92067.0,1051993.0,0.017
KR7105780001,105780,2008-10-22,1200000,0.4,7850.0,1102.0,9420.0,0.4
KR7290130004,290130,2018-02-27,26050000,0.3,12695.0,17720.0,330705.0,0.3
KR7367760006,367760,2020-10-29,11400000,0.45,9935.0,110947.0,113259.0,0.45
KR7367770005,367770,2020-10-29,28400000,0.45,11440.0,338210.0,324896.0,0.45
KR7326240009,326240,2019-06-20,9620000,0.4,22300.0,83097.0,214526.0,0.4
KR7266160001,266160,2017-04-14,6550000,0.2,12250.0,47832.0,80238.0,0.2
KR7326230000,326230,2019-06-20,3740000,0.4,10035.0,305.0,37531.0,0.4
KR7315960005,315960,2019-01-22,3550000,0.15,15505.0,27515.0,55043.0,0.15
KR7270810005,270810,2017-06-16,10940000,0.18,15070.0,45511.0,164866.0,0.18
KR7302450002,302450,2018-07-24,5650000,0.14,29830.0,7712.0,168540.0,0.14
KR7332930007,332930,2019-08-28,4300000,0.07,46510.0,210.0,199993.0,0.07
KR7293180006,293180,2018-03-30,15750000,0.036,38975.0,11129.0,613856.0,0.036
KR7367740008,367740,2020-10-29,1150000,0.45,13080.0,1096.0,15042.0,0.45
KR7332940006,332940,2019-08-28,16200000,0.12,15660.0,110.0,253692.0,0.12
KR7322400003,322400,2019-04-23,6450000,0.45,18575.0,34325.0,119809.0,0.45
KR7322410002,322410,2019-04-23,2050000,0.25,11045.0,3008.0,22642.0,0.25
KR7304770001,304770,2018-08-14,2540000,0.2,15120.0,24528.0,38405.0,0.2
KR7310960000,310960,2018-11-20,1600000,0.09,20835.0,890.0,33336.0,0.09
KR7102110004,102110,2008-04-03,57500000,0.05,38965.0,721007.0,2240488.0,0.05
KR7227540002,227540,2015-09-23,1360000,0.4,22440.0,70782.0,30518.0,0.4
KR7305540007,305540,2018-09-12,48700000,0.5,24260.0,2967753.0,1181462.0,0.5
KR7365040005,365040,2020-09-29,1800000,0.4,13155.0,583.0,23679.0,0.4
KR7364960005,364960,2020-10-07,31350000,0.4,12480.0,479331.0,391248.0,0.4
KR7364980003,364980,2020-10-07,32150000,0.4,17830.0,581207.0,573235.0,0.4
KR7292160009,292160,2018-03-26,1300000,0.09,18145.0,128.0,23589.0,0.09
KR7364990002,364990,2020-10-07,2550000,0.4,14110.0,419377.0,35981.0,0.4
KR7364970004,364970,2020-10-07,11050000,0.4,8730.0,652283.0,96467.0,0.4
KR7365000009,365000,2020-10-07,5500000,0.4,11710.0,110414.0,64405.0,0.4
KR7138530001,138530,2011-03-10,1480000,0.15,10630.0,3692.0,15732.0,0.15
KR7289260002,289260,2018-02-07,4590000,0.4,11285.0,830.0,51798.0,0.4
KR7289250003,289250,2018-02-07,1200000,0.4,11755.0,102.0,14106.0,0.4
KR7310970009,310970,2018-11-20,87400000,0.12,15680.0,530.0,1370432.0,0.12
KR7292150000,292150,2018-03-30,100500000,0.15,13450.0,156274.0,1351725.0,0.15
KR7139280002,139280,2011-04-06,8140000,0.4,11025.0,5357.0,89744.0,0.4
