표준코드,단축코드,상장일,상장좌수,총보수,시가,거래량,시가총액,보수
KR7319640009,319640,2019-04-09,2200000,0.39,13400.0,13697.0,29480.0,0.39
KR7160580007,160580,2012-12-17,2350000,0.83,10460.0,16592.0,24581.0,0.83
KR7137610002,137610,2011-01-11,4200000,0.69,6750.0,31744.0,28350.0,0.69
KR7329750004,329750,2019-07-24,19000000,0.3,10115.0,88876.0,192185.0,0.3
KR7305080004,305080,2018-08-30,5700000,0.29,11955.0,33016.0,68144.0,0.29
KR7130680002,130680,2010-08-02,16100000,0.69,3720.0,176348.0,59892.0,0.69
KR7182480004,182480,2013-10-10,11100000,0.24,15925.0,23343.0,176768.0,0.24
KR7182490003,182490,2014-03-24,1200000,0.24,12555.0,342.0,15066.0,0.24
KR7329650006,329650,2019-07-04,9100000,0.24,11505.0,48177.0,104696.0,0.24
KR7329660005,329660,2019-07-04,1700000,0.17,12660.0,8673.0,21522.0,0.17
KR7329670004,329670,2019-07-04,1500000,0.1,13870.0,10632.0,20805.0,0.1
KR7261220008,261220,2016-12-27,15000000,0.35,12290.0,324961.0,184350.0,0.35
KR7132030008,132030,2010-10-01,18600000,0.68,12550.0,215447.0,233430.0,0.68
KR7138910005,138910,2011-03-15,2500000,0.68,8000.0,67507.0,20000.0,0.68
KR7352560007,352560,2020-05-13,1300000,0.3,14895.0,5284.0,19364.0,0.3
KR7308620004,308620,2018-10-19,1100000,0.3,11700.0,8409.0,12870.0,0.3
KR7304660004,304660,2018-09-12,1800000,0.3,12340.0,12804.0,22212.0,0.3
KR7144600004,144600,2011-07-18,19900000,0.68,5130.0,309583.0,102087.0,0.68
KR7284430006,284430,2017-11-30,1200000,0.35,13065.0,40997.0,15678.0,0.35
