표준코드,단축코드,상장일,상장좌수,총보수,시가,거래량,시가총액,보수
KR7276650009,276650,2017-08-17,1500000,0.4,25050.0,19837.0,37575.0,0.4
KR7219390002,219390,2015-06-02,10000000,0.25,4810.0,165407.0,48100.0,0.25
KR7174360008,174360,2013-06-04,3700000,0.65,21410.0,3262.0,79217.0,0.65
KR7354350001,354350,2020-05-12,2950000,0.5,20500.0,115360.0,60475.0,0.5
KR7143850006,143850,2011-07-18,4750000,0.3,54990.0,21717.0,261203.0,0.3
KR7248270001,248270,2016-07-01,1300000,0.4,18520.0,17406.0,24076.0,0.4
KR7133690008,133690,2010-10-18,19000000,0.07,86405.0,138427.0,1641695.0,0.07
KR7105010003,105010,2008-08-27,1700000,0.49,3270.0,4733.0,5559.0,0.49
KR7360750004,360750,2020-08-07,73800000,0.07,13970.0,1074658.0,1030986.0,0.07
KR7245340005,245340,2016-07-01,3400000,0.35,21700.0,20014.0,73780.0,0.35
KR7245350004,245350,2016-07-01,1200000,0.35,13110.0,4718.0,15732.0,0.35
KR7245360003,245360,2016-06-16,5700000,0.35,11490.0,3450.0,65493.0,0.35
KR7276000007,276000,2017-08-01,1200000,0.4,13940.0,1967.0,16728.0,0.4
KR7203780002,203780,2014-08-27,2000000,0.3,20995.0,17944.0,41990.0,0.3
KR7275980001,275980,2017-08-01,13200000,0.4,19770.0,43995.0,260964.0,0.4
KR7195930003,195930,2014-04-30,5800000,0.24,14950.0,17998.0,86710.0,0.24
KR7192090009,192090,2014-02-17,19400000,0.63,11945.0,193678.0,231733.0,0.63
KR7251350005,251350,2016-08-17,16700000,0.3,21475.0,43809.0,358633.0,0.3
KR7269420006,269420,2017-05-16,1166000,0.26,12590.0,6326.0,14680.0,0.26
KR7276990009,276990,2017-08-17,1076000,0.3,19985.0,4723.0,21504.0,0.3
KR7314250002,314250,2019-01-10,15800000,0.45,31470.0,86142.0,497226.0,0.45
KR7276970001,276970,2017-08-10,3600000,0.3,10420.0,7986.0,37512.0,0.3
KR7304940000,304940,2018-08-30,4400000,0.45,20700.0,25561.0,91080.0,0.45
KR7280930009,280930,2017-11-09,1950000,0.45,15585.0,22319.0,30391.0,0.45
KR7218420008,218420,2015-04-28,3044000,0.25,7970.0,22545.0,24261.0,0.25
KR7283580009,283580,2017-12-13,7000000,0.12,14500.0,11668.0,101500.0,0.12
KR7169950003,169950,2013-01-21,1400000,0.12,22510.0,3513.0,31514.0,0.12
KR7099140006,99140,2007-10-10,2600000,0.12,19510.0,15189.0,50726.0,0.12
KR7256750001,256750,2016-11-08,3800000,0.47,15550.0,29875.0,59090.0,0.47
KR7298770009,298770,2018-06-11,5600000,0.55,20140.0,15664.0,112784.0,0.55
KR7219480001,219480,2015-05-29,5800000,0.25,22650.0,31164.0,131370.0,0.25
KR7200250009,200250,2014-06-26,3150000,0.49,19340.0,59460.0,60921.0,0.49
KR7277540001,277540,2017-08-23,1800000,0.7,15125.0,3247.0,27225.0,0.7
KR7360200000,360200,2020-08-07,35100000,0.07,14080.0,401344.0,494208.0,0.07
KR7309230001,309230,2018-10-25,6300000,0.4,18390.0,92549.0,115857.0,0.4
KR7367380003,367380,2020-10-29,21700000,0.07,14810.0,131613.0,321377.0,0.07
KR7245710009,245710,2016-07-01,9800000,0.7,23250.0,50360.0,227850.0,0.7
KR7256440009,256440,2016-11-01,5100000,0.7,9305.0,27224.0,47456.0,0.7
KR7168580009,168580,2012-11-29,6900000,0.7,31940.0,3626.0,220386.0,0.7
KR7269540001,269540,2017-05-16,2100000,0.3,19400.0,10403.0,40740.0,0.3
KR7287180004,287180,2017-12-13,1200000,0.5,27310.0,22886.0,32772.0,0.5
KR7213630007,213630,2015-01-26,1730000,0.4,15880.0,8993.0,27472.0,0.4
KR7195980008,195980,2014-05-13,6220000,0.5,12335.0,15463.0,76724.0,0.5
